Time,Temperature
2018-09-20 18:10:00.085525347+00:00,22.0
2018-09-20 19:10:09.258598794+00:00,18.0
2018-09-20 20:10:21.270995592+00:00,16.0
2018-09-20 21:10:33.382276879+00:00,16.0
2018-09-20 22:10:42.697638488+00:00,15.0
2018-09-20 23:10:48.642078289+00:00,15.0
2018-09-21 00:11:00.732372090+00:00,15.0
2018-09-21 01:11:06.864459229+00:00,16.0
2018-09-21 02:11:12.985898609+00:00,15.0
2018-09-21 03:11:19.109606457+00:00,15.0
2018-09-21 04:11:28.214987111+00:00,14.0
2018-09-21 05:11:37.392616067+00:00,14.0
2018-09-21 06:11:43.460502206+00:00,14.0
2018-09-21 07:11:49.587320240+00:00,14.0
2018-09-21 08:11:55.703193137+00:00,15.0
2018-09-21 09:12:01.826853434+00:00,16.0
2018-09-21 10:12:07.928505515+00:00,17.0
2018-09-21 11:12:14.035331059+00:00,22.0
2018-09-21 12:12:23.127484424+00:00,23.0
2018-09-21 13:12:29.250748497+00:00,23.0
2018-09-21 14:12:35.353431600+00:00,24.0
2018-09-21 15:12:41.465461632+00:00,25.0
2018-09-21 16:12:50.546769833+00:00,23.0
2018-09-21 17:12:56.677903803+00:00,23.0
2018-09-21 18:13:05.765957811+00:00,20.0
2018-09-21 21:13:32.118199628+00:00,16.0
2018-09-21 22:13:38.487362838+00:00,16.0
2018-09-21 23:13:50.332504108+00:00,16.0
2018-09-22 00:14:02.456778979+00:00,15.0
2018-09-22 01:14:08.999228703+00:00,16.0
2018-09-22 03:14:25.847265364+00:00,14.0
2018-09-22 05:14:43.095166364+00:00,14.0
2018-09-22 06:14:49.234438893+00:00,14.0
2018-09-22 10:15:28.714273185+00:00,16.0
2018-09-22 11:15:35.747301149+00:00,18.0
2018-09-22 12:15:42.105287540+00:00,17.0
2018-09-22 13:15:47.095751756+00:00,20.0
2018-09-22 16:16:18.435885598+00:00,21.0
